seaweed_sample_data
seed_quality,water_condition,disease_risk,weather_risk,drying_condition,market_price,labor_availability,outcome_high_risk,outcome_good_performance,reward
67,67,33,0,67,"19,000",100,0,1,1
67,33,0,0,67,"19,000",100,0,0,1
67,67,0,0,67,"19,000",100,1,1,-1
67,67,0,0,67,"19,000",100,1,0,-1
67,67,0,0,67,"19,000",100,1,0,-1
67,67,0,0,67,"19,000",100,1,0,-1
67,33,0,0,67,"19,000",100,1,0,-1
67,67,0,0,67,"19,000",100,1,1,-1
67,67,0,0,67,"19,000",100,1,1,-1
67,33,33,0,67,"19,000",100,1,0,-1
67,67,0,0,67,"19,000",100,0,1,1
67,67,0,0,67,"19,000",100,0,1,1
33,33,0,0,67,"19,000",100,0,0,1
67,67,33,0,67,"19,000",100,1,0,-1
67,67,33,0,67,"19,000",100,1,1,-1
67,33,0,0,67,"19,000",100,0,1,1
67,33,0,0,67,"19,000",100,0,1,1
67,67,33,0,67,"19,000",100,1,0,-1
67,67,67,0,67,"19,000",100,1,0,-1
67,67,33,0,67,"19,000",100,0,0,1
67,67,0,0,67,"19,000",100,0,1,1
